id_incident,date,day_week,prov,city_town,address_intersection,postal_code,location_type
1,6-Jan-12,Fri,QC,Montréal,1000 rue De La Gaucheti√®re,H3B 4W5,Urban
2,11-Jan-12,Wed,AB,Onoway,"#104, 5107 Lac St Anne Trail North",T0E 1V0,Rural
3,12-Jan-12,Thu,ON,Oakville,95 Oak Walk Drive,L6H 0G6,Urban
4,3-Feb-12,Fri,ON,Toronto,552-554 Milverton Boulevard,M4C 1X5,Urban
5,13-Feb-12,Mon,ON,Hamilton,15 Albright Road,L8K 5J4,Urban
6,16-Feb-12,Thu,QC,Montréal,2007 Rue Nicolet,H1W 3L3,Urban
7,20-Feb-12,Mon,ON,Toronto,258 Campbell Avenue,M6P 3V6,Urban
8,28-Feb-12,Tue,QC,La Baie,593 Rue Troisi√®me,G7B 2B4,Urban
9,14-Mar-12,Wed,NT,Yellowknife,1 Glick Court,X1A 3K6,Urban
10,20-Apr-12,Fri,ON,Toronto,28 Northmount Aveue,M3H 1N4,Urban
11,2-May-12,Wed,ON,Maitland,"Concession 2 Road, west of Rocky Road",K6V 5T1,Urban
12,6-May-12,Sun,QC,Saint-Félicien,2163 chemin de la Pointe,G8K 3G3,Urban
13,30-May-12,Wed,BC,Maple Ridge,216th St. & 132nd Ave.,V4R 2S8,Urban
14,15-Jul-12,Sun,AB,Lethbridge,64 Columbia Way West,T1K 5A8,Urban
15,18-Jul-12,Wed,AB,Vegreville,53030 Range Road 122,T0B 2S0,Rural
17,10-Sep-12,Mon,BC,Prince George,10680 Pinko Rd.,V2N 5V8,Urban
18,29-Oct-12,Mon,BC,Vancouver,E Hastings St. & Cassiar St.,V5K 2A6,Urban
19,8-Nov-12,Thu,BC,New Westminster,350 Gifford St.,V3M 7A3,Urban
20,13-Nov-12,Tue,BC,Vancouver,1335 Renfrew Street,V5K 3B2,Urban
21,11-Dec-12,Tue,AB,Edmonton,2142 99 Street NW,T6N 1L2,Urban
22,31-Jan-13,Thu,BC,Burnaby,E Hastings St. & MacDonald Ave.,V5C 2J1,Urban
23,26-Apr-13,Fri,ON,Toronto,Southeast corner of Kennedy Road and Eglinton Avenue,M1K 2P7,Urban
24,7-Jun-13,Fri,ON,Hamilton,Lincoln Alexander Parkway near Upper Wentworth Street,L9A 5G2,Urban
25,8-Jun-13,Sat,ON,Toronto,140 Adanac Drive,M1M 2E8,Urban
26,21-Jun-13,Fri,ON,Port Elgin,799 Oakwood Drive,N0H 2C4,Rural
27,13-Jul-13,Sat,NB,Moncton,Killam Drive between Whitney Avenue and Jordan Avenue,E1C 3S7,Urban
